date,portfolio_value,daily_pnl,buy_amount,sell_amount,positions_value
20240319,995696.1062146997,0.0,0.0,0.0,0.0
20240320,995696.1062146997,0.0,0.0,0.0,0.0
20240321,995696.1062146997,0.0,0.0,0.0,0.0
20240322,995696.1062146997,0.0,0.0,0.0,0.0
20240325,995696.1062146997,0.0,0.0,0.0,0.0
20240326,995696.1062146997,0.0,0.0,0.0,0.0
20240327,995696.1062146997,0.0,0.0,0.0,0.0
20240328,995696.1062146997,0.0,0.0,0.0,0.0
20240329,995696.1062146997,0.0,0.0,0.0,0.0
20240401,995696.1062146997,0.0,0.0,0.0,0.0
20240402,995696.1062146997,0.0,0.0,0.0,0.0
20240403,995696.1062146997,0.0,0.0,0.0,0.0
20240408,995696.1062146997,0.0,0.0,0.0,0.0
20240409,995696.1062146997,0.0,0.0,0.0,0.0
20240410,995696.1062146997,0.0,0.0,0.0,0.0
20240411,995696.1062146997,0.0,0.0,0.0,0.0
20240412,995696.1062146997,0.0,0.0,0.0,0.0
20240415,995696.1062146997,0.0,0.0,0.0,0.0
20240416,995696.1062146997,0.0,0.0,0.0,0.0
20240417,995696.1062146997,0.0,0.0,0.0,0.0
20240418,995696.1062146997,0.0,0.0,0.0,0.0
20240419,995696.1062146997,0.0,0.0,0.0,0.0
20240422,995696.1062146997,0.0,0.0,0.0,0.0
20240423,995696.1062146997,0.0,0.0,0.0,0.0
20240424,995696.1062146997,0.0,0.0,0.0,0.0
20240425,995696.1062146997,0.0,0.0,0.0,0.0
20240426,995696.1062146997,0.0,0.0,0.0,0.0
20240429,995696.1062146997,0.0,0.0,0.0,0.0
20240430,995696.1062146997,0.0,0.0,0.0,0.0
20240506,995696.1062146997,0.0,0.0,0.0,0.0
20240507,995696.1062146997,0.0,0.0,0.0,0.0
20240508,995696.1062146997,0.0,0.0,0.0,0.0
20240509,995696.1062146997,0.0,0.0,0.0,0.0
20240510,995696.1062146997,0.0,0.0,0.0,0.0
20240513,995696.1062146997,0.0,0.0,0.0,0.0
20240514,995696.1062146997,0.0,0.0,0.0,0.0
20240515,995696.1062146997,0.0,0.0,0.0,0.0
20240516,995696.1062146997,0.0,0.0,0.0,0.0
20240517,995696.1062146997,0.0,0.0,0.0,0.0
20240520,995696.1062146997,0.0,0.0,0.0,0.0
20240521,995696.1062146997,0.0,0.0,0.0,0.0
20240522,995696.1062146997,0.0,0.0,0.0,0.0
20240523,995696.1062146997,0.0,0.0,0.0,0.0
20240524,995696.1062146997,0.0,0.0,0.0,0.0
20240527,995696.1062146997,0.0,0.0,0.0,0.0
20240528,995696.1062146997,0.0,0.0,0.0,0.0
20240529,995696.1062146997,0.0,0.0,0.0,0.0
20240530,995696.1062146997,0.0,0.0,0.0,0.0
20240531,995696.1062146997,0.0,0.0,0.0,0.0
20240603,995696.1062146997,0.0,0.0,0.0,0.0
20240604,995696.1062146997,0.0,0.0,0.0,0.0
20240605,995696.1062146997,0.0,0.0,0.0,0.0
20240606,995696.1062146997,0.0,0.0,0.0,0.0
20240607,995696.1062146997,0.0,0.0,0.0,0.0
20240611,995696.1062146997,0.0,0.0,0.0,0.0
20240612,995696.1062146997,0.0,0.0,0.0,0.0
20240613,995696.1062146997,0.0,0.0,0.0,0.0
20240614,995696.1062146997,0.0,0.0,0.0,0.0
20240617,995696.1062146997,0.0,0.0,0.0,0.0
20240618,995696.1062146997,0.0,0.0,0.0,0.0
20240619,995696.1062146997,0.0,0.0,0.0,0.0
20240620,995696.1062146997,0.0,0.0,0.0,0.0
20240621,995696.1062146997,0.0,0.0,0.0,0.0
20240624,995696.1062146997,0.0,0.0,0.0,0.0
20240625,995696.1062146997,0.0,0.0,0.0,0.0
20240626,995696.1062146997,0.0,0.0,0.0,0.0
20240627,995696.1062146997,0.0,0.0,0.0,0.0
20240628,995696.1062146997,0.0,0.0,0.0,0.0
20240701,995696.1062146997,0.0,0.0,0.0,0.0
20240702,995696.1062146997,0.0,0.0,0.0,0.0
20240703,995696.1062146997,0.0,0.0,0.0,0.0
20240704,995696.1062146997,0.0,0.0,0.0,0.0
20240705,995696.1062146997,0.0,0.0,0.0,0.0
20240708,995696.1062146997,0.0,0.0,0.0,0.0
20240709,995696.1062146997,0.0,0.0,0.0,0.0
20240710,995696.1062146997,0.0,0.0,0.0,0.0
20240711,995696.1062146997,0.0,0.0,0.0,0.0
20240712,995696.1062146997,0.0,0.0,0.0,0.0
20240715,995696.1062146997,0.0,0.0,0.0,0.0
20240716,995696.1062146997,0.0,0.0,0.0,0.0
