date,stock_code,name,amount,market_value,cost_basis
20220801,601318.SS,中国平安,200,8368.0,46.25
20220801,600036.SS,招商银行,200,6904.0,39.84
20220802,000651.SZ,格力电器,300,9558.0,32.09
20220802,601318.SS,中国平安,200,8234.0,46.25
20220802,600036.SS,招商银行,200,6782.0,39.84
20220803,000651.SZ,格力电器,300,9546.0,32.09
20220803,601318.SS,中国平安,200,8166.0,46.25
20220803,600036.SS,招商银行,200,6612.0,39.84
20220804,000651.SZ,格力电器,300,9648.0,32.09
20220804,601318.SS,中国平安,200,8216.0,46.25
20220804,600036.SS,招商银行,200,6732.0,39.84
20220805,000651.SZ,格力电器,300,9219.0,32.09
20220805,601318.SS,中国平安,200,8308.0,46.25
20220805,600036.SS,招商银行,200,6860.0,39.84
20220808,000651.SZ,格力电器,300,9165.0,32.09
20220808,601318.SS,中国平安,200,8236.0,46.25
20220808,600036.SS,招商银行,200,6782.0,39.84
20220809,000651.SZ,格力电器,300,9183.0,32.09
20220809,601318.SS,中国平安,200,8192.0,46.25
20220809,600036.SS,招商银行,200,6720.0,39.84
20220810,000651.SZ,格力电器,300,9126.0,32.09
20220810,601318.SS,中国平安,200,8080.0,46.25
20220810,600036.SS,招商银行,200,6630.0,39.84
20220811,000651.SZ,格力电器,300,9249.0,32.09
20220811,601318.SS,中国平安,400,16584.0,43.87
20220811,600036.SS,招商银行,200,6872.0,39.84
20220812,000651.SZ,格力电器,300,9267.0,32.09
20220812,601318.SS,中国平安,400,16644.0,43.87
20220812,600036.SS,招商银行,200,6874.0,39.84
20220815,000651.SZ,格力电器,300,9267.0,32.09
20220815,601318.SS,中国平安,400,16456.0,43.87
20220815,600036.SS,招商银行,200,6746.0,39.84
20220816,000651.SZ,格力电器,300,9258.0,32.09
20220816,601318.SS,中国平安,400,16396.0,43.87
20220816,600036.SS,招商银行,200,6782.0,39.84
20220817,000651.SZ,格力电器,300,9294.0,32.09
20220817,601318.SS,中国平安,400,16516.0,43.87
20220817,600036.SS,招商银行,200,6848.0,39.84
20220818,000651.SZ,格力电器,300,9129.0,32.09
20220818,601318.SS,中国平安,400,16324.0,43.87
20220818,600036.SS,招商银行,200,6744.0,39.84
20220819,000651.SZ,格力电器,300,9138.0,32.09
20220819,601318.SS,中国平安,400,16388.0,43.87
20220819,600036.SS,招商银行,200,6770.0,39.84
20220822,000651.SZ,格力电器,300,9147.0,32.09
20220822,601318.SS,中国平安,400,16460.0,43.87
20220822,600036.SS,招商银行,200,6724.0,39.84
20220823,000651.SZ,格力电器,300,9069.0,32.09
20220823,601318.SS,中国平安,400,16288.0,43.87
20220823,600036.SS,招商银行,200,6620.0,39.84
20220824,000651.SZ,格力电器,300,9012.0,32.09
20220824,601318.SS,中国平安,400,16644.0,43.87
20220824,600036.SS,招商银行,500,16420.0,35.65
20220825,000651.SZ,格力电器,300,9108.0,32.09
20220825,601318.SS,中国平安,400,17240.0,43.87
20220825,600036.SS,招商银行,500,16845.0,35.65
20220826,000651.SZ,格力电器,300,9045.0,32.09
20220826,601318.SS,中国平安,400,17248.0,43.87
20220826,600036.SS,招商银行,500,16850.0,35.65
20220829,000651.SZ,格力电器,300,9099.0,32.09
20220829,601318.SS,中国平安,400,17228.0,43.87
20220829,600036.SS,招商银行,500,16640.0,35.65
20220830,000651.SZ,格力电器,300,9165.0,32.09
20220830,601318.SS,中国平安,400,17156.0,43.87
20220830,600036.SS,招商银行,500,16895.0,35.65
20220831,000651.SZ,格力电器,300,9579.0,32.09
20220831,601318.SS,中国平安,400,17536.0,43.87
20220831,600036.SS,招商银行,500,17525.0,35.65
20220901,000651.SZ,格力电器,300,9855.0,32.09
20220901,601318.SS,中国平安,400,17460.0,43.87
20220901,600036.SS,招商银行,500,17250.0,35.65
20220902,000651.SZ,格力电器,300,9906.0,32.09
20220902,601318.SS,中国平安,400,17480.0,43.87
20220902,600036.SS,招商银行,500,17160.0,35.65
20220905,000651.SZ,格力电器,300,10008.0,32.09
20220905,601318.SS,中国平安,400,17520.0,43.87
20220905,600036.SS,招商银行,500,17115.0,35.65
20220906,000651.SZ,格力电器,300,9948.0,32.09
20220906,601318.SS,中国平安,400,17560.0,43.87
20220906,600036.SS,招商银行,500,16810.0,35.65
20220907,000651.SZ,格力电器,300,9891.0,32.09
20220907,601318.SS,中国平安,400,17440.0,43.87
20220907,600036.SS,招商银行,500,16690.0,35.65
20220908,000651.SZ,格力电器,300,9954.0,32.09
20220908,601318.SS,中国平安,400,17536.0,43.87
20220908,600036.SS,招商银行,500,16650.0,35.65
20220909,000651.SZ,格力电器,300,10401.0,32.09
20220909,601318.SS,中国平安,400,17876.0,43.87
20220909,600036.SS,招商银行,500,17250.0,35.65
20220913,000651.SZ,格力电器,300,10545.0,32.09
20220913,601318.SS,中国平安,400,18024.0,43.87
20220913,600036.SS,招商银行,500,17675.0,35.65
20220914,000651.SZ,格力电器,300,10476.0,32.09
20220914,601318.SS,中国平安,400,17860.0,43.87
20220914,600036.SS,招商银行,500,17430.0,35.65
20220915,000651.SZ,格力电器,300,10530.0,32.09
20220915,601318.SS,中国平安,400,18036.0,43.87
20220915,600036.SS,招商银行,500,18005.0,35.65
20220916,000651.SZ,格力电器,300,10377.0,32.09
20220916,601318.SS,中国平安,400,17572.0,43.87
20220916,600036.SS,招商银行,500,17475.0,35.65
20220919,000651.SZ,格力电器,300,10338.0,32.09
20220919,601318.SS,中国平安,400,17572.0,43.87
20220919,600036.SS,招商银行,500,17545.0,35.65
20220920,000651.SZ,格力电器,300,10260.0,32.09
20220920,601318.SS,中国平安,400,17296.0,43.87
20220920,600036.SS,招商银行,500,17270.0,35.65
20220921,000651.SZ,格力电器,300,10305.0,32.09
20220921,601318.SS,中国平安,400,17260.0,43.87
20220921,600036.SS,招商银行,500,17205.0,35.65
20220922,000651.SZ,格力电器,300,9936.0,32.09
20220922,601318.SS,中国平安,400,16992.0,43.87
20220922,600036.SS,招商银行,500,17085.0,35.65
20220923,000651.SZ,格力电器,300,9924.0,32.09
20220923,601318.SS,中国平安,400,17208.0,43.87
20220923,600036.SS,招商银行,500,17180.0,35.65
20220926,000651.SZ,格力电器,300,9858.0,32.09
20220926,601318.SS,中国平安,400,16996.0,43.87
20220926,600036.SS,招商银行,500,16975.0,35.65
20220927,000651.SZ,格力电器,300,10035.0,32.09
20220927,601318.SS,中国平安,400,16976.0,43.87
20220927,600036.SS,招商银行,500,16950.0,35.65
20220928,000651.SZ,格力电器,300,9900.0,32.09
20220928,601318.SS,中国平安,400,16756.0,43.87
