日期,时间,合约代码,最新价,仓位,多/空,持仓成本价,市值,累计盈亏
2022-08-10,15:30:00,601318.SS,40.400,200,多,45.059,8080.000,-931.860
2022-08-10,15:30:00,600036.SS,33.150,200,多,38.619,6630.000,-1093.860
2022-08-11,15:30:00,000651.SZ,30.830,300,多,29.767,9249.000,319.020
2022-08-11,15:30:00,601318.SS,41.460,400,多,43.273,16584.000,-725.240
2022-08-11,15:30:00,600036.SS,34.360,200,多,38.619,6872.000,-851.860
2022-08-12,15:30:00,000651.SZ,30.890,300,多,29.767,9267.000,337.020
2022-08-12,15:30:00,601318.SS,41.610,400,多,43.273,16644.000,-665.240
2022-08-12,15:30:00,600036.SS,34.370,200,多,38.619,6874.000,-849.860
2022-08-15,15:30:00,000651.SZ,30.890,300,多,29.767,9267.000,337.020
2022-08-15,15:30:00,601318.SS,41.140,400,多,43.273,16456.000,-853.240
2022-08-15,15:30:00,600036.SS,33.730,200,多,38.619,6746.000,-977.860
2022-08-16,15:30:00,000651.SZ,30.860,300,多,29.767,9258.000,328.020
2022-08-16,15:30:00,601318.SS,40.990,400,多,43.273,16396.000,-913.240
2022-08-16,15:30:00,600036.SS,33.910,200,多,38.619,6782.000,-941.860
2022-08-17,15:30:00,000651.SZ,30.980,300,多,29.767,9294.000,364.020
2022-08-17,15:30:00,601318.SS,41.290,400,多,43.273,16516.000,-793.240
2022-08-17,15:30:00,600036.SS,34.240,200,多,38.619,6848.000,-875.860
2022-08-18,15:30:00,000651.SZ,30.430,300,多,29.767,9129.000,199.020
2022-08-18,15:30:00,601318.SS,40.810,400,多,43.273,16324.000,-985.240
2022-08-18,15:30:00,600036.SS,33.720,200,多,38.619,6744.000,-979.860
2022-08-19,15:30:00,000651.SZ,30.460,300,多,29.767,9138.000,208.020
2022-08-19,15:30:00,601318.SS,40.970,400,多,43.273,16388.000,-921.240
2022-08-19,15:30:00,600036.SS,33.850,200,多,38.619,6770.000,-953.860
2022-08-22,15:30:00,000651.SZ,30.490,300,多,29.767,9147.000,217.020
2022-08-22,15:30:00,601318.SS,41.150,400,多,43.273,16460.000,-849.240
2022-08-22,15:30:00,600036.SS,33.620,200,多,38.619,6724.000,-999.860
2022-08-23,15:30:00,000651.SZ,30.230,300,多,29.767,9069.000,139.020
2022-08-23,15:30:00,601318.SS,40.720,400,多,43.273,16288.000,-1021.240
2022-08-23,15:30:00,600036.SS,33.100,200,多,38.619,6620.000,-1103.860
2022-08-24,15:30:00,000651.SZ,30.040,300,多,29.767,9012.000,82.020
2022-08-24,15:30:00,601318.SS,41.610,400,多,43.273,16644.000,-665.240
2022-08-24,15:30:00,600036.SS,32.840,500,多,35.163,16420.000,-1161.350
2022-08-25,15:30:00,000651.SZ,30.360,300,多,29.767,9108.000,178.020
2022-08-25,15:30:00,601318.SS,43.100,400,多,43.273,17240.000,-69.240
2022-08-25,15:30:00,600036.SS,33.690,500,多,35.163,16845.000,-736.350
2022-08-26,15:30:00,000651.SZ,30.150,300,多,29.767,9045.000,115.020
2022-08-26,15:30:00,601318.SS,43.120,400,多,43.273,17248.000,-61.240
2022-08-26,15:30:00,600036.SS,33.700,500,多,35.163,16850.000,-731.350
2022-08-29,15:30:00,000651.SZ,30.330,300,多,29.767,9099.000,169.020
2022-08-29,15:30:00,601318.SS,43.070,400,多,43.273,17228.000,-81.240
2022-08-29,15:30:00,600036.SS,33.280,500,多,35.163,16640.000,-941.350
2022-08-30,15:30:00,000651.SZ,30.550,300,多,29.767,9165.000,235.020
2022-08-30,15:30:00,601318.SS,42.890,400,多,43.273,17156.000,-153.240
2022-08-30,15:30:00,600036.SS,33.790,500,多,35.163,16895.000,-686.350
2022-08-31,15:30:00,000651.SZ,31.930,300,多,29.767,9579.000,649.020
2022-08-31,15:30:00,601318.SS,43.840,400,多,43.273,17536.000,226.760
2022-08-31,15:30:00,600036.SS,35.050,500,多,35.163,17525.000,-56.350
