event_id,event_datetime,security,type,direction,window,matured_datetime,base_close,end_close,directional_return,mfe,mae
600519SS_2023-08-22T000000_BUY_SETUP_PERFECT_1_2023-08-22T000000_9,2023-08-22 00:00:00,600519.SS,BUY_SETUP_PERFECT,1,120,2024-02-23 00:00:00,1662.58,1607.78,-0.03296082,0.06651109,-0.12831864
600519SS_2023-08-22T000000_SELL_COUNTDOWN_CANCEL_-1_2023-08-02T000000_2,2023-08-22 00:00:00,600519.SS,SELL_COUNTDOWN_CANCEL,-1,120,2024-02-23 00:00:00,1662.58,1607.78,0.03296082,0.12831864,-0.06651109
601318SS_2024-02-23T000000_SELL_SETUP_PERFECT_-1_2024-02-23T000000_9,2024-02-23 00:00:00,601318.SS,SELL_SETUP_PERFECT,-1,5,2024-03-01 00:00:00,39.11,38.03,0.02761442,0.04014319,0.00409103
601318SS_2024-02-23T000000_SELL_COUNTDOWN_CANCEL_-1_2024-01-30T000000_7,2024-02-23 00:00:00,601318.SS,SELL_COUNTDOWN_CANCEL,-1,5,2024-03-01 00:00:00,39.11,38.03,0.02761442,0.04014319,0.00409103
000858SZ_2023-11-30T000000_BUY_SETUP_PERFECT_1_2023-11-30T000000_9,2023-11-30 00:00:00,000858.SZ,BUY_SETUP_PERFECT,1,60,2024-03-04 00:00:00,136.16,127.34,-0.06477673,-0.00110165,-0.19528496
000858SZ_2023-11-30T000000_SELL_COUNTDOWN_CANCEL_-1_2023-11-06T000000_1,2023-11-30 00:00:00,000858.SZ,SELL_COUNTDOWN_CANCEL,-1,60,2024-03-04 00:00:00,136.16,127.34,0.06477673,0.19528496,0.00110165
000858SZ_2024-02-26T000000_SELL_SETUP_PERFECT_-1_2024-02-26T000000_9,2024-02-26 00:00:00,000858.SZ,SELL_SETUP_PERFECT,-1,5,2024-03-04 00:00:00,126.77,127.34,-0.00449633,0.013489,-0.03171097
600036SS_2024-02-26T000000_SELL_SETUP_PERFECT_-1_2024-02-26T000000_9,2024-02-26 00:00:00,600036.SS,SELL_SETUP_PERFECT,-1,5,2024-03-04 00:00:00,27.27,26.54,0.02676934,0.02860286,-0.00550055
600036SS_2024-02-26T000000_SELL_COUNTDOWN_CANCEL_-1_2024-01-30T000000_6,2024-02-26 00:00:00,600036.SS,SELL_COUNTDOWN_CANCEL,-1,5,2024-03-04 00:00:00,27.27,26.54,0.02676934,0.02860286,-0.00550055
000651SZ_2024-02-26T000000_SELL_SETUP_PERFECT_-1_2024-02-26T000000_9,2024-02-26 00:00:00,000651.SZ,SELL_SETUP_PERFECT,-1,5,2024-03-04 00:00:00,32.56,33.75,-0.03654791,0.01105651,-0.06511057
000651SZ_2024-02-26T000000_SELL_COUNTDOWN_CANCEL_-1_2024-02-05T000000_7,2024-02-26 00:00:00,000651.SZ,SELL_COUNTDOWN_CANCEL,-1,5,2024-03-04 00:00:00,32.56,33.75,-0.03654791,0.01105651,-0.06511057
