event_id,event_datetime,security,type,direction,window,matured_datetime,base_close,end_close,directional_return,mfe,mae
000858SZ_2025-01-10T000000_BUY_COUNTDOWN_CANCEL_1_2024-12-26T000000_8,2025-01-10 00:00:00,000858.SZ,BUY_COUNTDOWN_CANCEL,1,120,2025-07-14 00:00:00,120.27,119.66,-0.00507192,0.14084975,-0.07499792
601318SS_2025-01-13T000000_BUY_SETUP_PERFECT_1_2025-01-13T000000_9,2025-01-13 00:00:00,601318.SS,BUY_SETUP_PERFECT,1,120,2025-07-15 00:00:00,46.04,56.15,0.21959166,0.26129453,-0.03453519
000651SZ_2025-04-21T000000_SELL_COUNTDOWN_COMPLETE_-1_2025-03-13T000000_13,2025-04-21 00:00:00,000651.SZ,SELL_COUNTDOWN_COMPLETE,-1,60,2025-07-18 00:00:00,41.2,44.89,-0.08956311,0.00461165,-0.09466019
000858SZ_2025-07-15T000000_SELL_SETUP_PERFECT_-1_2025-07-15T000000_9,2025-07-15 00:00:00,000858.SZ,SELL_SETUP_PERFECT,-1,5,2025-07-22 00:00:00,119.25,122.95,-0.03102725,0.0033543,-0.03404612
000858SZ_2025-07-15T000000_BUY_COUNTDOWN_CANCEL_1_2025-05-28T000000_10,2025-07-15 00:00:00,000858.SZ,BUY_COUNTDOWN_CANCEL,1,5,2025-07-22 00:00:00,119.25,122.95,0.03102725,0.03404612,-0.0033543
601318SS_2025-04-23T000000_SELL_SETUP_PERFECT_-1_2025-04-23T000000_9,2025-04-23 00:00:00,601318.SS,SELL_SETUP_PERFECT,-1,60,2025-07-22 00:00:00,48.15,55.75,-0.15784008,0.01391485,-0.20602285
601318SS_2025-04-23T000000_BUY_COUNTDOWN_CANCEL_1_2025-04-10T000000_0,2025-04-23 00:00:00,601318.SS,BUY_COUNTDOWN_CANCEL,1,60,2025-07-22 00:00:00,48.15,55.75,0.15784008,0.20602285,-0.01391485
601318SS_2025-07-15T000000_SELL_SETUP_-1_2025-07-15T000000_9,2025-07-15 00:00:00,601318.SS,SELL_SETUP,-1,5,2025-07-22 00:00:00,56.15,55.75,0.00712378,0.01780944,-0.01157614
600036SS_2025-06-26T000000_SELL_SETUP_PERFECT_-1_2025-06-26T000000_9,2025-06-26 00:00:00,600036.SS,SELL_SETUP_PERFECT,-1,20,2025-07-24 00:00:00,44.87,43.87,0.02228661,0.04702474,-0.01493203
600036SS_2025-06-26T000000_SELL_COUNTDOWN_CANCEL_-1_2025-06-13T000000_6,2025-06-26 00:00:00,600036.SS,SELL_COUNTDOWN_CANCEL,-1,20,2025-07-24 00:00:00,44.87,43.87,0.02228661,0.04702474,-0.01493203
600036SS_2025-01-27T000000_SELL_COUNTDOWN_COMPLETE_PERFECT_-1_2024-12-10T000000_13,2025-01-27 00:00:00,600036.SS,SELL_COUNTDOWN_COMPLETE_PERFECT,-1,120,2025-07-29 00:00:00,37.64,43.13,-0.14585547,0.03347503,-0.2098831
000651SZ_2025-04-30T000000_SELL_SETUP_-1_2025-04-30T000000_9,2025-04-30 00:00:00,000651.SZ,SELL_SETUP,-1,60,2025-07-29 00:00:00,41.57,43.13,-0.03752706,0.01274958,-0.09405822
000651SZ_2025-07-04T000000_SELL_SETUP_PERFECT_-1_2025-07-04T000000_9,2025-07-04 00:00:00,000651.SZ,SELL_SETUP_PERFECT,-1,20,2025-08-01 00:00:00,43.75,42.9,0.01942857,0.02834286,-0.03954286
000651SZ_2025-07-04T000000_SELL_COUNTDOWN_CANCEL_-1_2025-04-30T000000_12,2025-07-04 00:00:00,000651.SZ,SELL_COUNTDOWN_CANCEL,-1,20,2025-08-01 00:00:00,43.75,42.9,0.01942857,0.02834286,-0.03954286
600519SS_2025-05-16T000000_SELL_SETUP_-1_2025-05-16T000000_9,2025-05-16 00:00:00,600519.SS,SELL_SETUP,-1,60,2025-08-11 00:00:00,1562.57,1421.04,0.09057514,0.13628189,0.00904279
